time;dt;imu_reseted;meca_position_measure_received;meca_position_x;meca_position_y;visu_position_measure_received;visu_position_x;visu_position_y;visu_velocity_measure_received;visu_velocity_x;visu_velocity_y;imu_accel_measure_received;accel_mss_x;accel_mss_y;imu_theta_measure_received;imu_theta;kalman_position_x;kalman_position_y
1467042515970;0.0;0.0;1;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0
1467042515990;0.02;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0
1467042516000;0.01;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0
1467042516010;0.01;0.0;1;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;0.0
1467042516020;0.01;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;0.0
1467042516030;0.01;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;0.0
1467042516040;0.01;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;0.0
1467042516050;0.01;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;0.0
1467042516060;0.01;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;0.0
1467042516070;0.01;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;0.0
1467042516080;0.01;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;0.0
1467042516091;0.011;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;1e-06
1467042516100;0.009;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;1e-06
1467042516110;0.01;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;1e-06
1467042516121;0.011;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;1e-06
1467042516130;0.009;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;1e-06
1467042516148;0.018;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;1e-06
1467042516164;0.016;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;2e-06
1467042516172;0.008;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;2e-06
1467042516180;0.008;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;2e-06
1467042516188;0.008;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;2e-06
1467042516206;0.018;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;3e-06
1467042516214;0.008;0.0;0;-0.058904;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;3e-06
1467042516223;0.009;0.0;0;-0.058904;0.0;1;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;1.2e-05
1467042516232;0.009;0.0;0;-0.058904;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;1.3e-05
1467042516243;0.011;0.0;0;-0.058904;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;1.4e-05
1467042516258;0.015;0.0;0;-0.058904;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;1.6e-05
1467042516265;0.007;0.0;0;-0.058904;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;1.6e-05
1467042516272;0.007;0.0;0;-0.058904;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;1.7e-05
1467042516279;0.007;0.0;0;-0.058904;0.0;1;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;1.8e-05
1467042516290;0.011;0.0;0;-0.058904;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;1.9e-05
1467042516297;0.007;0.0;0;-0.058904;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;1.9e-05
1467042516300;0.003;0.0;0;-0.058904;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;2e-05
1467042516310;0.01;0.0;0;-0.058904;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;2.1e-05
1467042516320;0.01;0.0;0;-0.058904;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;2.2e-05
1467042516330;0.01;0.0;0;-0.058904;0.0;1;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;2.3e-05
1467042516340;0.01;0.0;0;-0.058904;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;2.4e-05
1467042516350;0.01;0.0;0;-0.058904;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;2.5e-05
1467042516360;0.01;0.0;0;-0.058904;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;2.6e-05
1467042516370;0.01;0.0;0;-0.058904;0.0;1;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;2.7e-05
1467042516380;0.01;0.0;0;-0.058904;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.045817;2.8e-05
