time;dt;imu_reseted;meca_position_measure_received;meca_position_x;meca_position_y;visu_position_measure_received;visu_position_x;visu_position_y;visu_velocity_measure_received;visu_velocity_x;visu_velocity_y;imu_accel_measure_received;accel_mss_x;accel_mss_y;imu_theta_measure_received;imu_theta;kalman_position_x;kalman_position_y
1467120028606;0.0;0.0;1;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0
1467120028626;0.02;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0
1467120028636;0.01;0.0;1;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0
1467120028646;0.01;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0
1467120028663;0.017;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0
1467120028675;0.012;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0
1467120028687;0.012;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0
1467120028698;0.011;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0
1467120028710;0.012;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0
1467120028723;0.013;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;1e-06
1467120028734;0.011;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;1e-06
1467120028744;0.01;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;1e-06
1467120028759;0.015;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;1e-06
1467120028769;0.01;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;1e-06
1467120028780;0.011;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;1e-06
1467120028792;0.012;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;2e-06
1467120028804;0.012;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;2e-06
1467120028813;0.009;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;2e-06
1467120028822;0.009;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;2e-06
