time;dt;imu_reseted;meca_position_measure_received;meca_position_x;meca_position_y;visu_position_measure_received;visu_position_x;visu_position_y;visu_velocity_measure_received;visu_velocity_x;visu_velocity_y;imu_accel_measure_received;accel_mss_x;accel_mss_y;imu_theta_measure_received;imu_theta;kalman_position_x;kalman_position_y
1467287938944;0.0;0.0;1;0.0;0.0;1;0.0;0.0;1;0.0001;0.0001;1;0.51912;-0.235964;1;0.0;0.0;0.0
1467287938964;0.02;0.0;1;-0.058904;0.0;1;-0.058904;0.0;1;2.454333;0.0001;1;0.487573;-0.165591;1;0.0;0.001043;2e-06
1467287938975;0.011;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.55236;-0.208267;1;0.0;0.02746;3e-06
1467287938985;0.01;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.577958;-0.177116;1;0.0;0.051485;4e-06
1467287938995;0.01;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.527543;-0.22609;1;0.0;0.07552;5e-06
1467287939004;0.009;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.466983;-0.162015;1;0.0;0.09716;6e-06
1467287939014;0.01;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.468734;-0.174626;1;0.0;0.121213;7e-06
1467287939024;0.01;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.524226;-0.22596;1;0.0;0.145276;8e-06
1467287939034;0.01;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.576315;-0.213794;1;0.0;0.169348;8e-06
1467287939044;0.01;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.515646;-0.225009;1;0.0;0.193429;9e-06
1467287939054;0.01;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.580219;-0.209259;1;0.0;0.217521;9e-06
1467287939067;0.013;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.563496;-0.218128;1;0.0;0.248852;1e-05
1467287939074;0.007;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.563496;-0.218128;1;0.0;0.265732;1e-05
1467287939090;0.016;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.48987;-0.212585;1;0.0;0.304325;1e-05
1467287939105;0.015;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.510665;-0.179678;1;0.0;0.34053;9e-06
1467287939133;0.028;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.43647;-0.195019;1;0.0;0.408153;7e-06
1467287939146;0.013;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.574094;-0.159993;1;0.0;0.439586;5e-06
1467287939162;0.016;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.482593;-0.200322;1;0.0;0.478294;2e-06
1467287939178;0.016;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.510483;-0.304499;1;0.0;0.517028;-3e-06
1467287939192;0.014;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.533886;-0.187329;1;0.0;0.550944;-8e-06
1467287939206;0.014;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.587451;-0.255826;1;0.0;0.584881;-1.5e-05
1467287939224;0.018;0.0;0;-0.058904;0.0;0;-0.058904;0.0;0;0.0001;0.0001;1;0.486727;-0.198296;1;0.0;0.628539;-2.3e-05
