time;dt;imu_reseted;meca_position_measure_received;meca_position_x;meca_position_y;visu_position_measure_received;visu_position_x;visu_position_y;visu_velocity_measure_received;visu_velocity_x;visu_velocity_y;imu_accel_measure_received;accel_mss_x;accel_mss_y;imu_theta_measure_received;imu_theta;kalman_position_x;kalman_position_y
1467119299756;0.0;0.0;1;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0
1467119299777;0.021;0.0;1;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;0.0
1467119299786;0.009;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;0.0
1467119299796;0.01;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;0.0
1467119299806;0.01;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;0.0
1467119299816;0.01;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;0.0
1467119299826;0.01;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;0.0
1467119299836;0.01;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;0.0
1467119299846;0.01;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;0.0
1467119299857;0.011;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;0.0
1467119299866;0.009;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;1e-06
1467119299877;0.011;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;1e-06
1467119299899;0.022;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;1e-06
1467119299907;0.008;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;1e-06
1467119299916;0.009;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;1e-06
1467119299924;0.008;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;1e-06
1467119299931;0.007;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;1e-06
1467119299941;0.01;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;2e-06
1467119299946;0.005;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;2e-06
1467119299956;0.01;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;2e-06
1467119299967;0.011;0.0;0;0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;2e-06
1467119299977;0.01;0.0;0;0.029452;0.0;1;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;1.9e-05
1467119299986;0.009;0.0;0;0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;2e-05
1467119299996;0.01;0.0;0;0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;2.1e-05
1467119300007;0.011;0.0;0;0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;2.2e-05
1467119300016;0.009;0.0;0;0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;2.3e-05
1467119300026;0.01;0.0;0;0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;2.4e-05
1467119300036;0.01;0.0;0;0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;2.5e-05
1467119300046;0.01;0.0;0;0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;2.6e-05
1467119300057;0.011;0.0;0;0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;2.7e-05
1467119300066;0.009;0.0;0;0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.014691;2.8e-05
