time;dt;imu_reseted;meca_position_measure_received;meca_position_x;meca_position_y;visu_position_measure_received;visu_position_x;visu_position_y;visu_velocity_measure_received;visu_velocity_x;visu_velocity_y;imu_accel_measure_received;accel_mss_x;accel_mss_y;imu_theta_measure_received;imu_theta;kalman_position_x;kalman_position_y
1467119613682;0.0;0.0;1;0.0;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;0.0;0.0
1467119613702;0.02;0.0;1;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;0.0
1467119613712;0.01;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;0.0
1467119613722;0.01;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;0.0
1467119613732;0.01;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;0.0
1467119613742;0.01;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;0.0
1467119613752;0.01;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;0.0
1467119613762;0.01;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;0.0
1467119613772;0.01;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;0.0
1467119613782;0.01;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;0.0
1467119613792;0.01;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;1e-06
1467119613802;0.01;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;1e-06
1467119613812;0.01;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;1e-06
1467119613825;0.013;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;1e-06
1467119613832;0.007;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;1e-06
1467119613846;0.014;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;1e-06
1467119613852;0.006;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;1e-06
1467119613871;0.019;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;2e-06
1467119613884;0.013;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;2e-06
1467119613891;0.007;0.0;0;-0.029452;0.0;0;0.0;0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;2e-06
1467119613899;0.008;0.0;0;-0.029452;0.0;1;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;1.8e-05
1467119613902;0.003;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;1.9e-05
1467119613912;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;2e-05
1467119613922;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;2.1e-05
1467119613932;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;2.2e-05
1467119613942;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;2.3e-05
1467119613952;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;2.4e-05
1467119613962;0.01;0.0;0;-0.029452;0.0;1;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;2.5e-05
1467119613972;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;2.6e-05
1467119613982;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;2.7e-05
1467119613992;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;2.8e-05
1467119614002;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;2.9e-05
1467119614012;0.01;0.0;0;-0.029452;0.0;1;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;3e-05
1467119614022;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;3.1e-05
1467119614032;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;3.2e-05
1467119614042;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;3.3e-05
1467119614052;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;3.4e-05
1467119614063;0.011;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;3.5e-05
1467119614082;0.019;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;3.7e-05
1467119614092;0.01;0.0;0;-0.029452;0.0;1;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;3.8e-05
1467119614103;0.011;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;3.9e-05
1467119614111;0.008;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;4e-05
1467119614118;0.007;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;4e-05
1467119614122;0.004;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;4.1e-05
1467119614132;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;4.2e-05
1467119614142;0.01;0.0;0;-0.029452;0.0;1;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;4.3e-05
1467119614152;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;4.4e-05
1467119614162;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;4.5e-05
1467119614173;0.011;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;4.6e-05
1467119614182;0.009;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;4.7e-05
1467119614192;0.01;0.0;0;-0.029452;0.0;1;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;4.8e-05
1467119614202;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.014691;4.9e-05
1467119614212;0.01;0.0;1;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;3.3e-05
1467119614222;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;3.4e-05
1467119614232;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;3.5e-05
1467119614242;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;3.6e-05
1467119614252;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;3.7e-05
1467119614262;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;3.8e-05
1467119614272;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;3.9e-05
1467119614282;0.01;0.0;0;-0.029452;0.0;1;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;4e-05
1467119614292;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;4.1e-05
1467119614302;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;4.2e-05
1467119614317;0.015;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;4.4e-05
1467119614322;0.005;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;4.4e-05
1467119614332;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;4.5e-05
1467119614342;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;4.6e-05
1467119614352;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;4.7e-05
1467119614362;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;4.8e-05
1467119614372;0.01;0.0;0;-0.029452;0.0;1;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;4.9e-05
1467119614382;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;5e-05
1467119614392;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;5.1e-05
1467119614402;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;5.2e-05
1467119614412;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;5.3e-05
1467119614422;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;5.4e-05
1467119614432;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;5.5e-05
1467119614443;0.011;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;5.6e-05
1467119614452;0.009;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;5.7e-05
1467119614462;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;5.8e-05
1467119614472;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;6e-05
1467119614482;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;6.1e-05
1467119614492;0.01;0.0;0;-0.029452;0.0;1;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;6.1e-05
1467119614505;0.013;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;6.2e-05
1467119614512;0.007;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;6.3e-05
1467119614522;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;6.4e-05
1467119614533;0.011;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;6.5e-05
1467119614542;0.009;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;6.6e-05
1467119614553;0.011;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;6.7e-05
1467119614563;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;6.8e-05
1467119614572;0.009;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;6.9e-05
1467119614582;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;7e-05
1467119614592;0.01;0.0;0;-0.029452;0.0;1;-0.0;-0.0;1;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;7.1e-05
1467119614603;0.011;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;7.2e-05
1467119614612;0.009;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;7.3e-05
1467119614622;0.01;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;7.4e-05
1467119614636;0.014;0.0;0;-0.029452;0.0;0;-0.0;-0.0;0;0.0001;0.0001;1;0.0001;0.0001;1;0.0;-0.01967;7.6e-05
